,latitude,longitude,num_of_bikes
183,45.5849334,-122.7309533,0
184,45.5445104,-122.5799572,0
185,45.5901519,-122.7547835,2
186,45.55862047843104,-122.5638759,0
187,45.511907,-122.6294804,3
188,45.4970894,-122.686551,0
189,45.51184309,-122.68372,1
190,45.5886277,-122.7157775,3
191,45.5239729,-122.6932457,0
192,45.5868448,-122.7591351,1
193,45.5338491,-122.5470577,0
194,45.5220396,-122.537573,0
195,45.5591179,-122.6535114,1
196,45.5510308,-122.5814223,0
197,45.5257231,-122.6854375,3
198,45.52556242,-122.6892561,0
199,45.5625479,-122.6848349,0
200,45.52871176,-122.674166,3
201,45.5264482,-122.583548,1
202,45.50509011,-122.57900777,0
203,45.5935627,-122.7354239,0
204,45.5190613,-122.5584874,1
205,45.5337829,-122.5788583,3
206,45.5446211,-122.667667,5
207,45.53344,-122.55386,1
208,45.569917,-122.6744197,1
209,45.5628283,-122.6093459,2
210,45.5092949,-122.6846036,3
211,45.4976098,-122.5818846,0
212,45.519326,-122.5468687,1
213,45.5870144,-122.6951643,0
214,45.5616203,-122.6616835,0
215,45.4990782,-122.6837991,0
216,45.5014076,-122.5788622,0
217,45.5258454,-122.6814197,1
218,45.53496857,-122.653631,2
219,45.4900193,-122.5688739,2
220,45.5205931,-122.637238,0
221,45.588297,-122.7380898,3
222,45.4988159,-122.6540982,2
223,45.4797127,-122.5686256,0
224,45.5422831,-122.6037107,3
225,45.51158277,-122.682281,1
226,45.4941194,-122.5786536,0
227,45.5181656,-122.639145,0
228,45.55891838,-122.6824003,2
229,45.5226089,-122.5804512,0
230,45.5808002,-122.7133655,2
231,45.51788377,-122.6920402,2
232,45.4902649,-122.5979411,0
233,45.5965621,-122.7478995,1
234,45.5178988,-122.6600522,1
